ticket_id,company_id,customer_id,agent_id,created_at,updated_at,closed_at,status,priority,category,subcategory,channel,subject,description,tags,resolution_time_hours,first_response_time_minutes,sla_breached,nps_score,csat_score,sentiment,escalated,reopened_count,related_ticket_ids
TKT000011,COMP00100,CUST00170,AGENT023,2025-12-08 13:30:54,2025-12-10 02:30:54,,IN_PROGRESS,HIGH,COMPLAINT,POOR_SERVICE,EMAIL,Insatisfação com atendimento,Estou muito insatisfeito com o atendimento. Já abri 2 chamados e ninguém resolve meu problema.,COMPLAINT|POOR_SERVICE,,248,FALSE,,,VERY_NEGATIVE,FALSE,0,
TKT000012,COMP00048,CUST00144,AGENT001,2025-10-04 22:45:54,2025-10-05 12:45:54,,IN_PROGRESS,HIGH,TECHNICAL,POS_NOT_WORKING,WHATSAPP,Maquininha não está ligando,A maquininha de cartão modelo X900 não está ligando. Tentei carregar a bateria mas não funciona.,TECHNICAL|POS_NOT_WORKING,,305,FALSE,,,NEUTRAL,FALSE,0,
TKT000013,COMP00068,CUST00289,AGENT005,2026-01-03 04:44:54,2026-01-05 01:44:54,,PENDING_CUSTOMER,HIGH,COMPLAINT,LONG_WAIT,PORTAL,Muito tempo de espera no suporte,Estou esperando há 99 minutos para ser atendido. Isso é inaceitável!,COMPLAINT|LONG_WAIT,,375,FALSE,,,NEGATIVE,FALSE,0,
TKT000014,COMP00051,CUST00051,AGENT013,2025-12-19 15:06:54,2025-12-20 12:06:54,2025-12-19 20:34:30,CLOSED,CRITICAL,COMPLAINT,SYSTEM_DOWN,WHATSAPP,Sistema fora do ar há horas,O sistema está fora do ar desde as X900h e estou perdendo vendas. Preciso de solução urgente!,COMPLAINT|SYSTEM_DOWN|SLA_BREACHED|URGENT,5.46,74,TRUE,,,VERY_NEGATIVE,FALSE,0,
TKT000015,COMP00100,CUST00193,AGENT010,2025-12-19 19:50:54,2025-12-20 11:50:54,2025-12-24 19:47:54,RESOLVED,HIGH,INFORMATION,HOW_TO,PHONE,Como fazer uma transação PIX?,Preciso de ajuda para configurar e processar pagamentos via PIX na maquininha.,INFORMATION|HOW_TO|SLA_BREACHED,119.95,26,TRUE,,,NEUTRAL,FALSE,0,
TKT000016,COMP00065,CUST00079,,2025-11-10 07:04:54,2025-11-11 12:04:54,,OPEN,HIGH,TECHNICAL,CONNECTION_ERROR,CHAT,Erro de conexão com a máquina,"Estou com problemas de conexão na maquininha. Aparece erro ""Falha de comunicação"" toda vez que tento processar um pagamento.",TECHNICAL|CONNECTION_ERROR|CHURN_RISK,,,FALSE,,,NEGATIVE,TRUE,0,
TKT000017,COMP00014,CUST00221,AGENT018,2025-12-17 23:55:54,2025-12-18 05:55:54,,IN_PROGRESS,LOW,COMMERCIAL,PLAN_CHANGE,WHATSAPP,Quero mudar de plano,Gostaria de informações sobre mudança de plano. Meu volume de vendas aumentou e preciso de condições melhores.,COMMERCIAL|PLAN_CHANGE,,310,FALSE,,,NEGATIVE,TRUE,0,
TKT000018,COMP00006,CUST00044,AGENT005,2025-11-12 23:30:54,2025-11-13 17:30:54,,IN_PROGRESS,LOW,FINANCIAL,CHARGEBACK,WHATSAPP,Estorno indevido na conta,Foi realizado um estorno de R$ 2902.61 na minha conta sem autorização. Preciso entender o motivo e reverter.,FINANCIAL|CHARGEBACK|CHURN_RISK,,159,FALSE,,,NEGATIVE,TRUE,0,
TKT000019,COMP00097,CUST00142,AGENT024,2025-12-21 01:37:54,2025-12-22 18:37:54,2025-12-24 13:10:54,RESOLVED,HIGH,TECHNICAL,CONNECTION_ERROR,WHATSAPP,Erro de conexão com a máquina,"Estou com problemas de conexão na maquininha. Aparece erro ""Falha de comunicação"" toda vez que tento processar um pagamento.",TECHNICAL|CONNECTION_ERROR|SLA_BREACHED,83.55,162,TRUE,,,NEUTRAL,TRUE,0,
TKT000020,COMP00017,CUST00203,AGENT021,2025-12-28 22:03:54,2025-12-30 13:03:54,2025-12-29 21:21:54,RESOLVED,MEDIUM,FINANCIAL,RECEIPT_ERROR,WHATSAPP,Comprovante não foi emitido,Fiz uma venda de R$ 4324.77 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,FINANCIAL|RECEIPT_ERROR,23.3,87,FALSE,,,NEUTRAL,FALSE,1,
TKT000021,COMP00009,CUST00164,AGENT011,2025-12-30 18:47:54,2025-12-31 19:47:54,2026-01-01 18:14:54,CLOSED,HIGH,COMMERCIAL,CANCELLATION,PORTAL,Solicitar cancelamento do serviço,Gostaria de cancelar meu contrato. Estou fechando a loja/mudando de adquirente.,COMMERCIAL|CANCELLATION|SLA_BREACHED|CHURN_RISK,47.45,206,TRUE,1,4.73,NEUTRAL,FALSE,0,
TKT000022,COMP00084,CUST00282,AGENT023,2026-01-11 17:58:54,2026-01-11 22:58:54,,IN_PROGRESS,HIGH,TECHNICAL,UPDATE_NEEDED,WHATSAPP,Solicitação de atualização da máquina,A maquininha está pedindo atualização mas não consigo fazer. Como proceder?,TECHNICAL|UPDATE_NEEDED|CHURN_RISK,,424,FALSE,,,VERY_NEGATIVE,TRUE,0,
TKT000023,COMP00040,CUST00130,AGENT019,2025-11-27 19:00:54,2025-11-28 21:00:54,2025-12-01 13:01:30,RESOLVED,MEDIUM,FINANCIAL,RECEIPT_ERROR,PORTAL,Comprovante não foi emitido,Fiz uma venda de R$ 1947.26 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,FINANCIAL|RECEIPT_ERROR|SLA_BREACHED|CHURN_RISK,90.01,240,TRUE,,,VERY_NEGATIVE,TRUE,1,
TKT000024,COMP00021,CUST00275,AGENT020,2025-12-05 15:21:54,2025-12-05 18:21:54,2025-12-09 14:12:18,CLOSED,LOW,FINANCIAL,RECEIPT_ERROR,WHATSAPP,Comprovante não foi emitido,Fiz uma venda de R$ 1316.33 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,FINANCIAL|RECEIPT_ERROR|SLA_BREACHED|CHURN_RISK,94.84,170,TRUE,6,4.87,NEGATIVE,TRUE,0,
TKT000025,COMP00042,CUST00114,AGENT012,2025-12-13 00:52:54,2025-12-14 02:52:54,2025-12-16 06:56:30,CLOSED,LOW,COMPLAINT,SYSTEM_DOWN,WHATSAPP,Sistema fora do ar há horas,O sistema está fora do ar desde as X900h e estou perdendo vendas. Preciso de solução urgente!,COMPLAINT|SYSTEM_DOWN|SLA_BREACHED|CHURN_RISK,78.06,178,TRUE,8,1.6,NEGATIVE,TRUE,0,
TKT000026,COMP00006,CUST00044,AGENT007,2026-01-07 18:18:54,2026-01-09 04:18:54,,PENDING_CUSTOMER,MEDIUM,FINANCIAL,WRONG_FEE,WHATSAPP,Taxa cobrada incorretamente,A taxa cobrada nas transações está diferente do contratado. Contratei 2.5% mas está sendo cobrado 3.5%.,FINANCIAL|WRONG_FEE|CHURN_RISK,,252,FALSE,,,NEGATIVE,TRUE,0,
TKT000027,COMP00047,CUST00232,,2025-12-30 08:25:54,2025-12-30 15:25:54,,OPEN,LOW,FINANCIAL,RECEIPT_ERROR,PHONE,Comprovante não foi emitido,Fiz uma venda de R$ 3582.82 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,FINANCIAL|RECEIPT_ERROR,,,FALSE,,,NEUTRAL,FALSE,0,
TKT000028,COMP00100,CUST00170,AGENT014,2025-12-08 03:13:54,2025-12-09 05:13:54,,IN_PROGRESS,MEDIUM,FINANCIAL,RECEIPT_ERROR,WHATSAPP,Comprovante não foi emitido,Fiz uma venda de R$ 2084.73 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,FINANCIAL|RECEIPT_ERROR,,19,FALSE,,,NEUTRAL,FALSE,0,
TKT000029,COMP00014,CUST00110,AGENT006,2026-01-03 18:36:54,2026-01-04 18:36:54,,IN_PROGRESS,HIGH,FINANCIAL,RECEIPT_ERROR,WHATSAPP,Comprovante não foi emitido,Fiz uma venda de R$ 406.56 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,FINANCIAL|RECEIPT_ERROR,,171,FALSE,,,NEUTRAL,TRUE,0,
TKT000030,COMP00067,CUST00251,AGENT004,2025-12-10 21:07:54,2025-12-11 20:07:54,2025-12-13 08:35:30,RESOLVED,LOW,COMPLAINT,SYSTEM_DOWN,CHAT,Sistema fora do ar há horas,O sistema está fora do ar desde as X900h e estou perdendo vendas. Preciso de solução urgente!,COMPLAINT|SYSTEM_DOWN|SLA_BREACHED|CHURN_RISK,59.46,122,TRUE,,,NEGATIVE,FALSE,0,
TKT000031,COMP00059,CUST00069,AGENT017,2025-12-30 10:08:54,2025-12-31 11:08:54,,IN_PROGRESS,MEDIUM,TECHNICAL,CONNECTION_ERROR,PORTAL,Erro de conexão com a máquina,"Estou com problemas de conexão na maquininha. Aparece erro ""Falha de comunicação"" toda vez que tento processar um pagamento.",TECHNICAL|CONNECTION_ERROR,,219,FALSE,,,NEUTRAL,FALSE,0,
TKT000032,COMP00002,CUST00276,AGENT005,2025-11-19 20:28:54,2025-11-20 08:28:54,2025-11-22 01:40:18,RESOLVED,MEDIUM,TECHNICAL,PIX_ERROR,CHAT,PIX não está funcionando,O pagamento via PIX não está processando. Cliente escaneou o QR Code mas o pagamento não foi aprovado.,TECHNICAL|PIX_ERROR|SLA_BREACHED,53.19,120,TRUE,,,POSITIVE,FALSE,0,
TKT000033,COMP00051,CUST00100,AGENT014,2025-10-23 23:55:54,2025-10-25 21:55:54,2025-10-29 21:06:42,RESOLVED,MEDIUM,INFORMATION,HOW_TO,EMAIL,Como fazer uma transação PIX?,Preciso de ajuda para configurar e processar pagamentos via PIX na maquininha.,INFORMATION|HOW_TO|SLA_BREACHED,141.18,130,TRUE,,,POSITIVE,FALSE,0,
TKT000034,COMP00058,CUST00113,AGENT024,2025-12-31 09:13:54,2026-01-01 17:13:54,,IN_PROGRESS,MEDIUM,COMPLAINT,POOR_SERVICE,PORTAL,Insatisfação com atendimento,Estou muito insatisfeito com o atendimento. Já abri 4 chamados e ninguém resolve meu problema.,COMPLAINT|POOR_SERVICE|CHURN_RISK,,286,FALSE,,,NEGATIVE,TRUE,0,
TKT000035,COMP00047,CUST00188,AGENT014,2025-12-10 15:39:54,2025-12-10 22:39:54,2025-12-15 19:26:42,RESOLVED,LOW,TECHNICAL,UPDATE_NEEDED,CHAT,Solicitação de atualização da máquina,A maquininha está pedindo atualização mas não consigo fazer. Como proceder?,TECHNICAL|UPDATE_NEEDED|SLA_BREACHED,123.78,172,TRUE,,,NEUTRAL,FALSE,0,
TKT000036,COMP00099,CUST00135,AGENT008,2025-12-27 14:59:54,2025-12-28 04:59:54,2026-01-02 07:17:18,CLOSED,HIGH,TECHNICAL,CARD_NOT_READING,PORTAL,Máquina não lê o cartão,A leitora de cartão não está funcionando. Tentei limpar mas continua com problema.,TECHNICAL|CARD_NOT_READING|SLA_BREACHED|CHURN_RISK,136.29,155,TRUE,9,3.53,NEUTRAL,TRUE,0,
TKT000037,COMP00011,CUST00106,AGENT023,2025-10-25 23:05:54,2025-10-26 18:05:54,2025-10-28 00:03:30,RESOLVED,LOW,COMPLAINT,POOR_SERVICE,PHONE,Insatisfação com atendimento,Estou muito insatisfeito com o atendimento. Já abri 4 chamados e ninguém resolve meu problema.,COMPLAINT|POOR_SERVICE|SLA_BREACHED|CHURN_RISK,48.96,73,TRUE,,,NEGATIVE,FALSE,0,
TKT000038,COMP00081,CUST00031,AGENT023,2025-07-24 21:19:54,2025-07-25 18:19:54,2025-07-30 16:36:06,CLOSED,LOW,TECHNICAL,UPDATE_NEEDED,WHATSAPP,Solicitação de atualização da máquina,A maquininha está pedindo atualização mas não consigo fazer. Como proceder?,TECHNICAL|UPDATE_NEEDED|SLA_BREACHED,139.27,199,TRUE,,,VERY_NEGATIVE,TRUE,0,
TKT000039,COMP00006,CUST00213,,2025-12-25 14:47:54,2025-12-26 08:47:54,,OPEN,MEDIUM,FINANCIAL,RECEIPT_ERROR,WHATSAPP,Comprovante não foi emitido,Fiz uma venda de R$ 4412.61 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,FINANCIAL|RECEIPT_ERROR|CHURN_RISK,,,FALSE,,,NEGATIVE,FALSE,0,
TKT000040,COMP00062,CUST00002,AGENT023,2025-10-11 18:22:54,2025-10-12 17:22:54,2025-10-17 17:16:18,CLOSED,MEDIUM,TECHNICAL,UPDATE_NEEDED,WHATSAPP,Solicitação de atualização da máquina,A maquininha está pedindo atualização mas não consigo fazer. Como proceder?,TECHNICAL|UPDATE_NEEDED|SLA_BREACHED,142.89,208,TRUE,3,4.87,NEUTRAL,FALSE,0,
TKT000041,COMP00041,CUST00173,AGENT022,2025-12-10 12:51:54,2025-12-10 16:51:54,2025-12-10 21:03:54,RESOLVED,LOW,TECHNICAL,CARD_NOT_READING,EMAIL,Máquina não lê o cartão,A leitora de cartão não está funcionando. Tentei limpar mas continua com problema.,TECHNICAL|CARD_NOT_READING|CHURN_RISK,8.2,165,FALSE,,,VERY_NEGATIVE,TRUE,1,
TKT000042,COMP00003,CUST00226,AGENT010,2025-12-18 04:15:54,2025-12-18 15:15:54,2025-12-24 07:14:06,CLOSED,HIGH,TECHNICAL,UPDATE_NEEDED,CHAT,Solicitação de atualização da máquina,A maquininha está pedindo atualização mas não consigo fazer. Como proceder?,TECHNICAL|UPDATE_NEEDED|SLA_BREACHED|CHURN_RISK,146.97,229,TRUE,10,2.44,POSITIVE,FALSE,0,
TKT000043,COMP00036,CUST00027,AGENT003,2025-12-23 07:41:54,2025-12-25 05:41:54,2025-12-24 00:08:18,CLOSED,MEDIUM,TECHNICAL,UPDATE_NEEDED,EMAIL,Solicitação de atualização da máquina,A maquininha está pedindo atualização mas não consigo fazer. Como proceder?,TECHNICAL|UPDATE_NEEDED,16.44,59,FALSE,2,3.37,VERY_NEGATIVE,TRUE,0,
TKT000044,COMP00076,CUST00062,AGENT003,2025-07-29 03:43:54,2025-07-31 02:43:54,2025-08-03 19:13:54,RESOLVED,LOW,TECHNICAL,PIX_ERROR,CHAT,PIX não está funcionando,O pagamento via PIX não está processando. Cliente escaneou o QR Code mas o pagamento não foi aprovado.,TECHNICAL|PIX_ERROR|SLA_BREACHED,135.5,31,TRUE,,,NEGATIVE,FALSE,0,
TKT000045,COMP00059,CUST00069,AGENT021,2025-11-30 20:18:54,2025-12-01 07:18:54,2025-12-03 22:32:06,RESOLVED,LOW,TECHNICAL,CONNECTION_ERROR,PHONE,Erro de conexão com a máquina,"Estou com problemas de conexão na maquininha. Aparece erro ""Falha de comunicação"" toda vez que tento processar um pagamento.",TECHNICAL|CONNECTION_ERROR|SLA_BREACHED,74.22,189,TRUE,,,NEUTRAL,FALSE,0,
TKT000046,COMP00028,CUST00227,AGENT024,2025-10-14 14:30:54,2025-10-15 15:30:54,,IN_PROGRESS,LOW,TECHNICAL,CONNECTION_ERROR,CHAT,Erro de conexão com a máquina,"Estou com problemas de conexão na maquininha. Aparece erro ""Falha de comunicação"" toda vez que tento processar um pagamento.",TECHNICAL|CONNECTION_ERROR,,184,FALSE,,,VERY_NEGATIVE,FALSE,0,
TKT000047,COMP00006,CUST00044,AGENT023,2026-01-01 21:49:54,2026-01-01 23:49:54,2026-01-07 20:21:06,RESOLVED,HIGH,TECHNICAL,UPDATE_NEEDED,PHONE,Solicitação de atualização da máquina,A maquininha está pedindo atualização mas não consigo fazer. Como proceder?,TECHNICAL|UPDATE_NEEDED|SLA_BREACHED|CHURN_RISK,142.52,173,TRUE,,,NEGATIVE,FALSE,0,
TKT000048,COMP00079,CUST00201,AGENT016,2025-12-31 15:37:54,2026-01-02 08:37:54,2026-01-04 19:36:42,RESOLVED,LOW,COMPLAINT,LONG_WAIT,CHAT,Muito tempo de espera no suporte,Estou esperando há 60 minutos para ser atendido. Isso é inaceitável!,COMPLAINT|LONG_WAIT|SLA_BREACHED,99.98,140,TRUE,,,NEGATIVE,FALSE,0,
TKT000049,COMP00067,CUST00292,AGENT025,2025-12-20 23:44:54,2025-12-21 04:44:54,2025-12-21 03:02:54,CLOSED,CRITICAL,TECHNICAL,PIX_ERROR,WHATSAPP,PIX não está funcionando,O pagamento via PIX não está processando. Cliente escaneou o QR Code mas o pagamento não foi aprovado.,TECHNICAL|PIX_ERROR|CHURN_RISK|URGENT,3.3,22,FALSE,3,1.16,NEGATIVE,FALSE,0,
TKT000050,COMP00072,CUST00257,,2025-11-04 03:43:54,2025-11-05 19:43:54,,OPEN,MEDIUM,COMMERCIAL,PLAN_CHANGE,CHAT,Quero mudar de plano,Gostaria de informações sobre mudança de plano. Meu volume de vendas aumentou e preciso de condições melhores.,COMMERCIAL|PLAN_CHANGE,,,FALSE,,,NEUTRAL,TRUE,0,
TKT000051,COMP00014,CUST00105,AGENT021,2025-08-10 12:53:54,2025-08-12 08:53:54,2025-08-15 01:07:42,RESOLVED,MEDIUM,FINANCIAL,WRONG_FEE,PHONE,Taxa cobrada incorretamente,A taxa cobrada nas transações está diferente do contratado. Contratei 2.5% mas está sendo cobrado 3.5%.,FINANCIAL|WRONG_FEE|SLA_BREACHED,108.23,84,TRUE,,,VERY_NEGATIVE,TRUE,0,
TKT000052,COMP00050,CUST00223,AGENT024,2026-01-07 21:49:54,2026-01-08 09:49:54,,PENDING_CUSTOMER,MEDIUM,TECHNICAL,POS_NOT_WORKING,PHONE,Maquininha não está ligando,A maquininha de cartão modelo X900 não está ligando. Tentei carregar a bateria mas não funciona.,TECHNICAL|POS_NOT_WORKING,,66,FALSE,,,POSITIVE,FALSE,0,
TKT000053,COMP00089,CUST00178,AGENT009,2025-12-11 18:11:54,2025-12-13 17:11:54,2025-12-17 23:10:06,RESOLVED,MEDIUM,TECHNICAL,PIX_ERROR,CHAT,PIX não está funcionando,O pagamento via PIX não está processando. Cliente escaneou o QR Code mas o pagamento não foi aprovado.,TECHNICAL|PIX_ERROR|SLA_BREACHED,148.97,202,TRUE,,,POSITIVE,FALSE,0,
TKT000054,COMP00038,CUST00033,AGENT002,2026-01-01 22:47:54,2026-01-03 06:47:54,2026-01-07 23:14:18,RESOLVED,MEDIUM,TECHNICAL,CONNECTION_ERROR,PHONE,Erro de conexão com a máquina,"Estou com problemas de conexão na maquininha. Aparece erro ""Falha de comunicação"" toda vez que tento processar um pagamento.",TECHNICAL|CONNECTION_ERROR|SLA_BREACHED|CHURN_RISK,144.44,47,TRUE,,,NEGATIVE,FALSE,0,
TKT000055,COMP00017,CUST00294,AGENT001,2025-11-25 14:13:54,2025-11-26 06:13:54,2025-11-25 22:25:54,RESOLVED,LOW,TECHNICAL,UPDATE_NEEDED,PHONE,Solicitação de atualização da máquina,A maquininha está pedindo atualização mas não consigo fazer. Como proceder?,TECHNICAL|UPDATE_NEEDED,8.2,98,FALSE,,,VERY_NEGATIVE,FALSE,1,
TKT000056,COMP00079,CUST00019,AGENT014,2025-12-08 18:40:54,2025-12-10 17:40:54,2025-12-11 00:46:18,RESOLVED,LOW,INFORMATION,HOW_TO,PORTAL,Como fazer uma transação PIX?,Preciso de ajuda para configurar e processar pagamentos via PIX na maquininha.,INFORMATION|HOW_TO|SLA_BREACHED,54.09,216,TRUE,,,POSITIVE,FALSE,0,
TKT000057,COMP00036,CUST00027,,2026-01-05 01:25:54,2026-01-05 20:25:54,,OPEN,MEDIUM,COMMERCIAL,PLAN_CHANGE,CHAT,Quero mudar de plano,Gostaria de informações sobre mudança de plano. Meu volume de vendas aumentou e preciso de condições melhores.,COMMERCIAL|PLAN_CHANGE,,,FALSE,,,NEGATIVE,TRUE,0,
TKT000058,COMP00087,CUST00189,AGENT025,2026-01-04 22:37:54,2026-01-05 11:37:54,2026-01-10 01:49:18,RESOLVED,CRITICAL,FINANCIAL,MISSING_PAYMENT,PHONE,Pagamento não caiu na conta,Realizei vendas no dia 30/12/2025 no valor de R$ 2804.55 e o valor não foi creditado na minha conta.,FINANCIAL|MISSING_PAYMENT|SLA_BREACHED|CHURN_RISK|URGENT,123.19,144,TRUE,,,NEGATIVE,TRUE,0,
TKT000059,COMP00095,CUST00120,AGENT001,2025-12-09 20:34:54,2025-12-11 15:34:54,2025-12-12 12:06:42,CLOSED,CRITICAL,TECHNICAL,UPDATE_NEEDED,PHONE,Solicitação de atualização da máquina,A maquininha está pedindo atualização mas não consigo fazer. Como proceder?,TECHNICAL|UPDATE_NEEDED|SLA_BREACHED|URGENT,63.53,193,TRUE,,,NEGATIVE,FALSE,0,
TKT000060,COMP00068,CUST00252,AGENT014,2025-08-22 12:42:54,2025-08-24 09:42:54,,IN_PROGRESS,HIGH,FINANCIAL,MISSING_PAYMENT,WHATSAPP,Pagamento não caiu na conta,Realizei vendas no dia 21/08/2025 no valor de R$ 917.05 e o valor não foi creditado na minha conta.,FINANCIAL|MISSING_PAYMENT,,463,FALSE,,,NEGATIVE,FALSE,0,
TKT000061,COMP00028,CUST00049,,2025-12-12 20:35:54,2025-12-14 00:35:54,,OPEN,MEDIUM,COMMERCIAL,PLAN_CHANGE,PHONE,Quero mudar de plano,Gostaria de informações sobre mudança de plano. Meu volume de vendas aumentou e preciso de condições melhores.,COMMERCIAL|PLAN_CHANGE,,,FALSE,,,NEUTRAL,FALSE,1,
TKT000062,COMP00068,CUST00202,AGENT007,2025-11-18 18:07:54,2025-11-19 03:07:54,2025-11-24 05:16:18,RESOLVED,LOW,FINANCIAL,WRONG_FEE,PHONE,Taxa cobrada incorretamente,A taxa cobrada nas transações está diferente do contratado. Contratei 2.5% mas está sendo cobrado 3.5%.,FINANCIAL|WRONG_FEE|SLA_BREACHED,131.14,154,TRUE,,,POSITIVE,TRUE,0,
TKT000063,COMP00074,CUST00161,AGENT004,2025-12-22 00:05:54,2025-12-22 06:05:54,,PENDING_CUSTOMER,LOW,FINANCIAL,RECEIPT_ERROR,PORTAL,Comprovante não foi emitido,Fiz uma venda de R$ 1117.42 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,FINANCIAL|RECEIPT_ERROR|CHURN_RISK,,85,FALSE,,,NEGATIVE,TRUE,0,
TKT000064,COMP00099,CUST00168,AGENT010,2026-01-06 19:12:54,2026-01-07 12:12:54,2026-01-12 13:05:06,RESOLVED,LOW,FINANCIAL,WRONG_FEE,WHATSAPP,Taxa cobrada incorretamente,A taxa cobrada nas transações está diferente do contratado. Contratei 2.5% mas está sendo cobrado 3.5%.,FINANCIAL|WRONG_FEE|SLA_BREACHED|CHURN_RISK,137.87,49,TRUE,,,POSITIVE,FALSE,0,
TKT000065,COMP00084,CUST00282,AGENT025,2026-01-02 03:21:54,2026-01-02 18:21:54,,IN_PROGRESS,LOW,FINANCIAL,RECEIPT_ERROR,WHATSAPP,Comprovante não foi emitido,Fiz uma venda de R$ 3989.67 mas o comprovante não foi impresso. Cliente está pedindo comprovante.,FINANCIAL|RECEIPT_ERROR|CHURN_RISK,,71,FALSE,,,NEUTRAL,FALSE,0,
TKT000066,COMP00006,CUST00044,,2025-12-06 08:29:54,2025-12-06 21:29:54,,OPEN,CRITICAL,TECHNICAL,CARD_NOT_READING,PHONE,Máquina não lê o cartão,A leitora de cartão não está funcionando. Tentei limpar mas continua com problema.,TECHNICAL|CARD_NOT_READING|CHURN_RISK|URGENT,,,FALSE,,,VERY_NEGATIVE,TRUE,0,
TKT000067,COMP00100,CUST00170,AGENT024,2026-01-08 03:24:54,2026-01-09 05:24:54,2026-01-11 15:00:54,CLOSED,MEDIUM,TECHNICAL,PIX_ERROR,CHAT,PIX não está funcionando,O pagamento via PIX não está processando. Cliente escaneou o QR Code mas o pagamento não foi aprovado.,TECHNICAL|PIX_ERROR|SLA_BREACHED,83.6,102,TRUE,2,2.42,NEUTRAL,FALSE,1,
