company_id,company_name,cnpj,segment,company_size,contract_start_date,monthly_transaction_volume,status,churn_risk_score,created_at
COMP00018,Rios da Mata e Filhos,72.935.170/9727-26,SERVICES,ENTERPRISE,2022-11-19,4734509.16,ACTIVE,0.26,2022-10-20 00:00:00
COMP00019,Pereira e Filhos,87.533.316/9835-98,HEALTHCARE,LARGE,2025-09-19,1997966.54,SUSPENDED,0.62,2025-08-20 00:00:00
COMP00020,Castro Martins - ME,66.629.562/2982-41,HEALTHCARE,SMALL,2021-11-21,1693737.38,ACTIVE,0.53,2021-10-22 00:00:00
COMP00021,Rodrigues Duarte S/A,85.325.107/2163-90,RETAIL,MEDIUM,2022-05-20,341664.64,ACTIVE,0.82,2022-04-20 00:00:00
COMP00022,Dias - ME,19.626.343/5562-95,BEAUTY,MEDIUM,2022-03-07,2698473.49,SUSPENDED,0.89,2022-02-05 00:00:00
COMP00023,Nunes Silva Ltda.,83.690.584/4981-70,AUTOMOTIVE,MEDIUM,2022-05-16,476157.35,ACTIVE,0.42,2022-04-16 00:00:00
COMP00024,Gonçalves,64.520.578/1887-96,RESTAURANT,SMALL,2022-02-05,2016093.3,ACTIVE,0.76,2022-01-06 00:00:00
COMP00025,Casa Grande,23.354.296/4116-78,BEAUTY,MEDIUM,2025-06-16,2112298.79,ACTIVE,0.44,2025-05-17 00:00:00
COMP00026,Souza Novais - EI,19.553.927/2604-16,RETAIL,SMALL,2022-05-11,4632203.08,ACTIVE,0.17,2022-04-11 00:00:00
COMP00027,Pacheco,72.592.318/7570-17,SERVICES,ENTERPRISE,2022-05-07,15766.11,ACTIVE,0.26,2022-04-07 00:00:00
COMP00028,Carvalho Moraes - ME,68.392.533/8973-29,HEALTHCARE,LARGE,2023-01-12,1092415.99,ACTIVE,0.55,2022-12-13 00:00:00
COMP00029,Camargo S.A.,79.162.865/6138-17,RETAIL,ENTERPRISE,2021-06-28,2516737.66,ACTIVE,0.16,2021-05-29 00:00:00
COMP00030,Peixoto,75.182.971/4044-18,RESTAURANT,MEDIUM,2024-03-03,2021858.88,ACTIVE,0.24,2024-02-02 00:00:00
COMP00031,Peixoto,86.140.734/2343-63,ECOMMERCE,LARGE,2021-05-09,1025274.7,SUSPENDED,0.31,2021-04-09 00:00:00
COMP00032,Novaes,43.505.234/5915-68,ECOMMERCE,SMALL,2026-01-05,51530.71,ACTIVE,0.95,2025-12-06 00:00:00
COMP00033,Rodrigues e Filhos,22.175.650/4492-74,EDUCATION,MEDIUM,2025-05-03,4666630.59,ACTIVE,0.84,2025-04-03 00:00:00
COMP00034,Vargas,57.391.261/8179-79,EDUCATION,SMALL,2021-08-10,3340976.7,ACTIVE,0.29,2021-07-11 00:00:00
COMP00035,da Rocha - ME,94.206.999/3200-43,RESTAURANT,SMALL,2024-03-28,3713371.34,ACTIVE,0.27,2024-02-27 00:00:00
COMP00036,Silveira e Filhos,87.315.834/6617-36,EDUCATION,ENTERPRISE,2021-10-28,1259350.65,ACTIVE,0.1,2021-09-28 00:00:00
COMP00037,Montenegro Caldeira e Filhos,64.949.383/1722-10,ECOMMERCE,MEDIUM,2022-05-08,3187381.32,ACTIVE,0.16,2022-04-08 00:00:00
COMP00038,Cassiano Freitas S.A.,66.664.822/8007-81,RETAIL,SMALL,2022-07-11,380843.08,SUSPENDED,0.86,2022-06-11 00:00:00
COMP00039,Peixoto Ltda.,79.136.954/7049-84,SERVICES,ENTERPRISE,2023-09-24,641590.37,ACTIVE,0.35,2023-08-25 00:00:00
COMP00040,Fonseca Ltda.,15.466.315/5088-95,RESTAURANT,LARGE,2023-06-24,3901680.63,ACTIVE,0.93,2023-05-25 00:00:00
COMP00041,Nunes Barros S/A,29.342.985/3662-32,AUTOMOTIVE,SMALL,2022-03-26,900906.51,ACTIVE,0.75,2022-02-24 00:00:00
COMP00042,Teixeira - EI,62.921.785/5065-44,SERVICES,SMALL,2024-09-10,1915795.9,ACTIVE,0.82,2024-08-11 00:00:00
COMP00043,Ribeiro Melo - EI,38.304.936/8541-54,EDUCATION,MEDIUM,2024-11-11,1118503.12,ACTIVE,0.19,2024-10-12 00:00:00
COMP00044,Cunha,52.385.985/2137-45,ECOMMERCE,ENTERPRISE,2021-11-10,3399193.0,ACTIVE,0.32,2021-10-11 00:00:00
COMP00045,Silva das Neves - ME,13.218.998/5279-32,EDUCATION,SMALL,2025-09-05,546470.72,ACTIVE,0.33,2025-08-06 00:00:00
COMP00046,Macedo,50.546.720/9379-24,AUTOMOTIVE,MEDIUM,2026-01-04,1277338.92,SUSPENDED,0.42,2025-12-05 00:00:00
COMP00047,Campos,76.925.651/4228-56,AUTOMOTIVE,SMALL,2025-07-13,4744628.06,ACTIVE,0.6,2025-06-13 00:00:00
COMP00048,Fernandes S/A,94.968.227/5920-74,EDUCATION,ENTERPRISE,2022-04-10,1634283.61,SUSPENDED,0.29,2022-03-11 00:00:00
COMP00049,Pastor Câmara S/A,26.296.530/7211-96,SERVICES,LARGE,2023-12-23,2033345.47,ACTIVE,0.3,2023-11-23 00:00:00
COMP00050,da Conceição S/A,36.540.904/6279-69,BEAUTY,ENTERPRISE,2021-05-22,3379758.03,ACTIVE,0.45,2021-04-22 00:00:00
COMP00051,Barbosa,31.774.186/5649-75,ECOMMERCE,SMALL,2025-07-24,4093025.21,CANCELLED,0.23,2025-06-24 00:00:00
COMP00052,Rios,49.330.925/4262-28,RETAIL,SMALL,2023-08-09,1227988.51,ACTIVE,0.58,2023-07-10 00:00:00
COMP00053,Silveira Oliveira - EI,19.566.524/4185-99,AUTOMOTIVE,ENTERPRISE,2023-06-18,2001266.05,ACTIVE,0.63,2023-05-19 00:00:00
COMP00054,Jesus,10.868.981/2746-64,HEALTHCARE,MEDIUM,2023-05-26,4021528.73,SUSPENDED,0.5,2023-04-26 00:00:00
COMP00055,Ribeiro - ME,16.670.355/2988-68,SERVICES,ENTERPRISE,2021-12-26,3339550.77,ACTIVE,0.57,2021-11-26 00:00:00
COMP00056,Martins,66.727.934/9270-64,BEAUTY,MEDIUM,2022-10-21,3719558.93,ACTIVE,0.43,2022-09-21 00:00:00
COMP00057,Rocha e Filhos,41.960.752/5543-76,BEAUTY,MEDIUM,2025-05-09,1376614.25,ACTIVE,0.68,2025-04-09 00:00:00
COMP00058,Araújo - ME,40.378.443/6238-79,RESTAURANT,MEDIUM,2025-12-15,758399.14,ACTIVE,0.66,2025-11-15 00:00:00
COMP00059,da Cruz S.A.,37.165.524/7678-52,BEAUTY,ENTERPRISE,2024-09-03,316017.22,ACTIVE,0.38,2024-08-04 00:00:00
COMP00060,Carvalho,84.812.120/7232-71,RETAIL,LARGE,2021-12-26,1496570.2,ACTIVE,0.81,2021-11-26 00:00:00
COMP00061,Martins,63.651.865/9947-87,HEALTHCARE,ENTERPRISE,2023-02-22,1101011.06,ACTIVE,0.47,2023-01-23 00:00:00
COMP00062,Macedo - EI,59.444.784/7624-31,BEAUTY,MEDIUM,2022-04-14,4903706.28,ACTIVE,0.04,2022-03-15 00:00:00
COMP00063,Borges S.A.,60.706.677/1444-20,AUTOMOTIVE,MEDIUM,2021-07-10,4334922.52,ACTIVE,0.06,2021-06-10 00:00:00
COMP00064,Mendes,58.435.316/8449-51,ECOMMERCE,ENTERPRISE,2021-11-12,1394891.8,ACTIVE,0.25,2021-10-13 00:00:00
COMP00065,Araújo,20.581.119/9837-16,ECOMMERCE,MEDIUM,2022-02-07,3252469.75,CANCELLED,0.91,2022-01-08 00:00:00
COMP00066,Gomes Ltda.,15.872.131/5051-35,RETAIL,MEDIUM,2021-11-09,1196531.98,ACTIVE,0.64,2021-10-10 00:00:00
COMP00067,da Paz,82.323.576/5198-57,SERVICES,SMALL,2025-08-31,3890070.47,ACTIVE,0.92,2025-08-01 00:00:00
COMP00068,Cassiano,23.692.126/6111-83,AUTOMOTIVE,ENTERPRISE,2023-02-24,4707645.64,ACTIVE,0.08,2023-01-25 00:00:00
COMP00069,Araújo Pacheco e Filhos,98.950.742/4978-23,EDUCATION,SMALL,2021-12-25,3982154.95,ACTIVE,0.75,2021-11-25 00:00:00
COMP00070,Araújo,54.645.538/7071-18,ECOMMERCE,SMALL,2023-09-30,4248630.26,ACTIVE,0.11,2023-08-31 00:00:00
COMP00071,Montenegro,56.750.948/8532-29,AUTOMOTIVE,MEDIUM,2021-04-14,3670307.54,ACTIVE,0.26,2021-03-15 00:00:00
COMP00072,Araújo Moraes S/A,78.893.595/8616-65,EDUCATION,LARGE,2025-08-18,4259307.23,ACTIVE,0.27,2025-07-19 00:00:00
COMP00073,Peixoto S/A,67.349.868/8613-82,AUTOMOTIVE,LARGE,2025-04-16,148356.49,ACTIVE,0.18,2025-03-17 00:00:00
COMP00074,Guerra Campos - EI,37.463.916/5232-53,EDUCATION,LARGE,2024-05-29,2781176.18,ACTIVE,0.9,2024-04-29 00:00:00
COMP00075,Pinto S/A,20.347.837/7658-72,HEALTHCARE,ENTERPRISE,2022-04-07,3231284.98,ACTIVE,0.43,2022-03-08 00:00:00
COMP00076,da Luz,12.195.401/4630-61,HEALTHCARE,LARGE,2023-02-17,3321480.31,ACTIVE,0.45,2023-01-18 00:00:00
COMP00077,da Costa,77.452.535/6419-55,BEAUTY,LARGE,2022-01-20,1536581.84,ACTIVE,0.12,2021-12-21 00:00:00
COMP00078,Rios Ramos Ltda.,34.423.222/9779-98,SERVICES,MEDIUM,2022-05-13,1085841.28,ACTIVE,0.27,2022-04-13 00:00:00
COMP00079,Albuquerque - ME,85.878.637/5636-22,HEALTHCARE,LARGE,2023-04-27,1141278.4,ACTIVE,0.29,2023-03-28 00:00:00
COMP00080,Barbosa - EI,78.229.380/1745-16,EDUCATION,MEDIUM,2024-02-21,3191158.93,CANCELLED,0.47,2024-01-22 00:00:00
COMP00081,Cardoso,11.687.391/8690-71,BEAUTY,LARGE,2022-02-06,925896.53,ACTIVE,0.25,2022-01-07 00:00:00
COMP00082,da Cruz Ltda.,71.216.941/2070-61,BEAUTY,SMALL,2025-09-13,2887220.68,SUSPENDED,0.06,2025-08-14 00:00:00
COMP00083,Nogueira,29.930.676/5978-20,HEALTHCARE,SMALL,2022-06-17,2792574.81,ACTIVE,0.58,2022-05-18 00:00:00
COMP00084,Rios - EI,89.331.894/9561-58,BEAUTY,ENTERPRISE,2024-07-20,1490278.9,ACTIVE,0.94,2024-06-20 00:00:00
COMP00085,Carvalho Ltda.,49.682.735/1986-88,RESTAURANT,MEDIUM,2022-07-13,3129447.58,ACTIVE,0.63,2022-06-13 00:00:00
COMP00086,Souza - EI,30.345.277/2229-30,RETAIL,ENTERPRISE,2021-08-11,2255266.0,ACTIVE,0.45,2021-07-12 00:00:00
COMP00087,Pereira,14.337.395/5632-99,BEAUTY,SMALL,2021-10-23,3438487.68,ACTIVE,0.75,2021-09-23 00:00:00
COMP00088,Costela,90.703.777/4241-64,RESTAURANT,MEDIUM,2022-02-01,3239935.44,ACTIVE,0.79,2022-01-02 00:00:00
COMP00089,Montenegro,19.161.269/6039-86,EDUCATION,ENTERPRISE,2024-06-21,626146.52,SUSPENDED,0.3,2024-05-22 00:00:00
COMP00090,Borges e Filhos,61.378.612/9847-73,BEAUTY,SMALL,2023-06-24,2992193.13,ACTIVE,0.7,2023-05-25 00:00:00
COMP00091,Aparecida,87.356.126/2496-39,RETAIL,LARGE,2023-02-25,2883353.69,CANCELLED,0.72,2023-01-26 00:00:00
COMP00092,Porto da Luz S.A.,70.631.767/8245-45,SERVICES,ENTERPRISE,2021-01-19,3175749.67,ACTIVE,0.92,2020-12-20 00:00:00
COMP00093,Novais,70.456.518/6460-51,RESTAURANT,MEDIUM,2024-09-27,1652369.3,SUSPENDED,0.48,2024-08-28 00:00:00
COMP00094,Sales S.A.,94.510.933/1601-68,RESTAURANT,LARGE,2021-01-30,1265732.26,ACTIVE,0.92,2020-12-31 00:00:00
COMP00095,Pacheco,61.985.626/1018-94,BEAUTY,ENTERPRISE,2023-10-06,275749.41,ACTIVE,0.35,2023-09-06 00:00:00
COMP00096,Cardoso,73.740.552/1845-36,EDUCATION,MEDIUM,2023-10-18,4638725.44,ACTIVE,0.84,2023-09-18 00:00:00
COMP00097,Vieira,72.224.129/4920-30,EDUCATION,SMALL,2021-03-30,2763495.79,ACTIVE,0.22,2021-02-28 00:00:00
COMP00098,Fogaça S.A.,24.572.220/3522-73,EDUCATION,LARGE,2025-11-23,2080374.26,ACTIVE,0.93,2025-10-24 00:00:00
COMP00099,Fogaça - EI,41.567.664/3369-59,HEALTHCARE,MEDIUM,2024-06-11,4320814.54,ACTIVE,0.74,2024-05-12 00:00:00
COMP00100,Pinto,63.448.906/9318-44,RETAIL,LARGE,2025-06-15,3631624.66,ACTIVE,0.56,2025-05-16 00:00:00
